"grna_target","response_id","t_test","wilcoxon_test"
"candidate_enh_1","ENSG00000065268",0.542652289249565,22236501.2392578
"candidate_enh_1","ENSG00000070388",0.326739537737641,22206531.5
"candidate_enh_1","ENSG00000070404",0.898445640429227,22046451.5
"candidate_enh_1","ENSG00000070423",0.635925922158074,22407614.8544922
"candidate_enh_1","ENSG00000071564",0.741434813329866,21930589.53125
"candidate_enh_1","ENSG00000071626",0.314499593616842,22462059.5673828
"candidate_enh_1","ENSG00000071655",0.669200890078677,22259127.1689453
"candidate_enh_1","ENSG00000079313",0.472012736007217,21951335.074707
"candidate_enh_1","ENSG00000099622",0.6926918777278,22107344.7148438
"candidate_enh_1","ENSG00000099624",0.92981658434486,22201772.5996094
"candidate_enh_1","ENSG00000099625",0.50301488342763,22106799
"candidate_enh_1","ENSG00000099804",0.292461568103567,22167825.0019531
"candidate_enh_1","ENSG00000099817",0.462781479813715,22349692.4672852
"candidate_enh_1","ENSG00000099821",0.526781627007109,22120096.7744141
"candidate_enh_1","ENSG00000099840",0.443243531493655,22116148.5
"candidate_enh_1","ENSG00000099864",0.228873521848178,22221956
"candidate_enh_1","ENSG00000099866",0.61926186131373,21986646
"candidate_enh_1","ENSG00000099875",0.628047303212994,21508971.7675781
"candidate_enh_1","ENSG00000104885",0.229680670734443,21871590.859375
"candidate_enh_1","ENSG00000104886",0.0404428384810039,22809505.9770508
"candidate_enh_1","ENSG00000104897",0.779885249464535,22472717.2558594
"candidate_enh_1","ENSG00000105556",0.689356490584411,21981364
"candidate_enh_1","ENSG00000115255",0.677606072214344,22311345.7597656
"candidate_enh_1","ENSG00000115257",0.0815379746058226,21853443.5
"candidate_enh_1","ENSG00000115268",0.782441839051025,22019380.5
"candidate_enh_1","ENSG00000115286",0.941707131105051,22230327.6132812
"candidate_enh_1","ENSG00000116014",0.894836379941112,21829781
"candidate_enh_1","ENSG00000116017",0.485109468478514,22587229.2163086
"candidate_enh_1","ENSG00000118046",0.139076123522992,22451190.0957031
"candidate_enh_1","ENSG00000119559",0.896849139293483,22088793.8334961
"candidate_enh_1","ENSG00000127540",0.389663861781188,22437011.8925781
"candidate_enh_1","ENSG00000129911",0.0773638741628664,21589078.5073242
"candidate_enh_1","ENSG00000129946",0.173688256435028,21966826
"candidate_enh_1","ENSG00000129951",0.658185030553214,21843418
"candidate_enh_1","ENSG00000129968",0.0825712045445133,22786048.8862305
"candidate_enh_1","ENSG00000130005",0.873164778449144,22207766.3085938
"candidate_enh_1","ENSG00000130270",0.41902531605986,21990126.5
"candidate_enh_1","ENSG00000133243",0.791757183721114,22027570
"candidate_enh_1","ENSG00000133275",0.543757235410537,21925807.4018555
